Fecha,Hora,Total,Sentido1,Sentido2
2013-11-15,0:00,15,14,1
2013-11-15,0:14,19,19,0
2013-11-15,0:30,19,19,0
2013-11-15,0:45,7,7,0
2013-11-15,0:59,17,16,1
2013-11-15,1:15,16,14,2
2013-11-15,1:30,6,6,0
2013-11-15,1:44,16,16,0
2013-11-15,2:00,9,8,1
2013-11-15,2:15,7,7,0
2013-11-15,2:29,10,9,1
2013-11-15,2:45,4,3,1
2013-11-15,3:00,15,11,4
2013-11-15,3:14,8,7,1
2013-11-15,3:30,11,11,0
2013-11-15,3:45,9,8,1
2013-11-15,3:59,6,3,3
2013-11-15,4:15,8,8,0
2013-11-15,4:30,1,1,0
2013-11-15,4:44,1,1,0
2013-11-15,5:00,1,1,0
2013-11-15,5:15,0,0,0
2013-11-15,5:29,1,1,0
2013-11-15,5:45,4,4,0
2013-11-16,6:00,0,0,0
2013-11-16,6:14,0,0,0
2013-11-16,6:30,0,0,0
2013-11-16,6:45,0,0,0
2013-11-16,6:59,0,0,0
2013-11-16,7:15,0,0,0
2013-11-16,7:30,0,0,0
2013-11-16,7:44,0,0,0
2013-11-16,8:00,0,0,0
2013-11-16,8:15,0,0,0
2013-11-16,8:29,0,0,0
2013-11-16,8:45,0,0,0
2013-11-16,9:00,0,0,0
2013-11-16,9:14,0,0,0
2013-11-16,9:30,0,0,0
2013-11-16,9:45,0,0,0
2013-11-16,9:59,0,0,0
2013-11-16,10:15,0,0,0
2013-11-16,10:30,0,0,0
2013-11-16,10:44,0,0,0
2013-11-16,11:00,0,0,0
2013-11-16,11:15,0,0,0
2013-11-16,11:29,0,0,0
2013-11-16,11:45,0,0,0
2013-11-16,12:00,0,0,0
2013-11-16,12:14,0,0,0
2013-11-16,12:30,0,0,0
2013-11-16,12:45,0,0,0
2013-11-16,12:59,0,0,0
2013-11-16,13:15,0,0,0
2013-11-16,13:30,0,0,0
2013-11-16,13:44,0,0,0
2013-11-16,14:00,0,0,0
2013-11-16,14:15,0,0,0
2013-11-16,14:29,0,0,0
2013-11-16,14:45,0,0,0
2013-11-16,15:00,0,0,0
2013-11-16,15:14,0,0,0
2013-11-16,15:30,0,0,0
2013-11-16,15:45,0,0,0
2013-11-16,15:59,0,0,0
2013-11-16,16:15,0,0,0
