cust_id,bike,date_removed,station_removed,date_arrived,station_arrived,action
6,89,2010-02-02 13:57:00,56,2010-02-02 13:58:00,56,C  
6,89,2010-02-02 15:12:00,56,2010-02-02 15:12:00,56,C  
30,57,2010-02-05 11:36:00,85,2010-02-05 11:37:00,85,C  
30,29,2010-02-05 11:37:00,85,2010-02-05 11:37:00,85,C  
30,76,2010-02-05 12:41:00,85,2010-02-05 12:43:00,85,C  
30,69,2010-02-05 12:44:00,85,2010-02-05 12:46:00,85,A  
30,17,2010-02-05 13:15:00,85,2010-02-05 13:17:00,85,C  
30,45,2010-02-05 13:18:00,85,2010-02-05 13:19:00,85,C  
30,27,2010-02-05 13:20:00,85,2010-02-05 13:21:00,85,C  
30,79,2010-02-05 13:21:00,85,2010-02-05 13:21:00,85,C  
30,86,2010-02-05 13:21:00,85,2010-02-05 13:22:00,85,C  
30,92,2010-02-05 13:22:00,85,2010-02-05 13:22:00,85,C  
30,67,2010-02-05 13:23:00,85,2010-02-05 13:23:00,85,C  
30,44,2010-02-05 13:23:00,85,2010-02-05 13:23:00,85,C  
30,76,2010-02-05 13:24:00,85,2010-02-05 13:24:00,85,C  
30,70,2010-02-05 13:26:00,85,2010-02-05 13:27:00,85,C  
30,67,2010-02-05 15:21:00,85,2010-02-05 15:21:00,85,C  
30,67,2010-02-05 15:21:00,85,2010-02-05 15:22:00,85,C  
30,67,2010-02-05 15:22:00,85,2010-02-05 15:49:00,85,A  
30,106,2010-02-10 11:03:00,85,2010-02-10 11:03:00,85,C  
30,106,2010-02-10 11:11:00,85,2010-02-10 11:12:00,85,C  
30,155,2010-02-11 10:54:00,20,2010-02-11 11:03:00,85,A  
30,155,2010-02-11 11:15:00,85,2010-02-12 11:42:00,17,A  
30,413,2010-02-12 12:15:00,26,2010-02-12 12:28:00,26,A  
30,412,2010-02-12 12:52:00,26,2010-02-12 12:53:00,26,C  
30,420,2010-02-12 12:53:00,26,2010-02-12 12:53:00,26,C  
68,437,2010-02-12 13:22:00,85,2010-02-12 13:36:00,85,A  
69,440,2010-02-12 13:36:00,85,2010-02-12 13:48:00,19,A  
30,236,2010-02-12 22:37:00,79,2010-02-12 22:37:00,79,C  
30,236,2010-02-12 22:38:00,79,2010-02-14 13:29:00,50,A  
70,106,2010-02-13 11:23:00,17,2010-02-13 11:42:00,85,A  
68,155,2010-02-13 11:26:00,17,2010-02-13 11:37:00,85,A  
71,67,2010-02-14 11:02:00,16,2010-02-14 12:39:00,66,A  
69,67,2010-02-14 12:41:00,66,2010-02-16 10:24:00,18,A  
72,1,2010-02-15 10:01:00,85,2010-02-15 10:01:00,85,A  
72,2,2010-02-15 10:01:00,85,2010-02-15 10:02:00,85,A  
73,3,2010-02-15 10:02:00,85,2010-02-15 10:02:00,85,A  
73,4,2010-02-15 10:02:00,85,2010-02-15 10:03:00,85,A  
74,5,2010-02-15 10:03:00,85,2010-02-15 10:03:00,85,A  
74,6,2010-02-15 10:03:00,85,2010-02-15 10:03:00,85,A  
75,7,2010-02-15 10:03:00,85,2010-02-15 10:04:00,85,A  
75,8,2010-02-15 10:04:00,85,2010-02-15 10:04:00,85,A  
76,9,2010-02-15 10:04:00,85,2010-02-15 10:05:00,85,A  
76,10,2010-02-15 10:05:00,85,2010-02-15 10:06:00,85,A  
77,11,2010-02-15 10:06:00,85,2010-02-15 10:07:00,85,A  
78,12,2010-02-15 10:07:00,85,2010-02-15 10:08:00,85,A  
77,563,2010-02-15 10:23:00,85,2010-02-15 10:24:00,85,A  
77,14,2010-02-15 10:25:00,85,2010-02-15 10:25:00,85,A  
76,15,2010-02-15 10:25:00,85,2010-02-15 10:26:00,85,A  
78,1,2010-02-15 10:41:00,85,2010-02-15 10:43:00,85,A  
78,2,2010-02-15 10:43:00,85,2010-02-15 10:44:00,85,A  
78,3,2010-02-15 10:44:00,85,2010-02-15 10:45:00,85,A  
40,4,2010-02-15 11:06:00,85,2010-02-15 11:07:00,85,C  
84,5,2010-02-15 11:45:00,85,2010-02-15 11:45:00,85,A  
84,6,2010-02-15 11:45:00,85,2010-02-15 11:46:00,85,A  
33,7,2010-02-15 11:46:00,85,2010-02-15 11:46:00,85,C  
80,8,2010-02-15 11:46:00,85,2010-02-15 11:47:00,85,A  
81,9,2010-02-15 11:47:00,85,2010-02-15 11:47:00,85,A  
82,10,2010-02-15 11:47:00,85,2010-02-15 11:48:00,85,A  
