"estacion","sal_mor","lleg_mor","sal_mid","lleg_mid","sal_tar","lleg_tar","sal_noc","lleg_noc","distancia","dur_via","edades","prop"
1,18444,12776,13110,15444,12100,15835,3235,5123,1.85955047059839,10.1620240048355,34.6053863654331,0.266911448222552
2,8534,5171,5484,4969,5559,5956,1081,1741,1.67985205400747,10.8842286699224,34.5751034239944,0.262652935481032
3,9450,6850,4766,3991,3440,5508,681,795,2.07890475451394,10.942469863935,35.6574869611227,0.246315099901736
4,6539,6559,4753,5694,5818,6534,1170,1807,1.65422332465843,9.74064736499675,34.9520779054372,0.251057105027122
5,5187,6010,4678,4769,4572,3702,582,1501,1.78889167642304,9.41327981267771,34.5226811490639,0.276347005859654
6,9088,6640,6278,6560,5357,5670,1531,2526,1.74826904724034,10.0739223795133,34.4065409728393,0.279971409805664
7,4710,9018,6123,6158,7264,4795,1598,2072,1.96622367898292,11.3403655145014,34.7878433908346,0.260299117665464
8,5940,6856,8028,7056,4448,4349,1085,1279,1.95668376305332,10.8935403382312,35.7995971341589,0.240391878590885
9,5024,7313,4612,5233,5267,3629,1130,2320,1.50923568976059,9.32872395465876,34.9046759476769,0.273435374990727
10,11969,5946,8042,7346,6546,9858,1424,1483,2.00936563506512,13.2365915137936,37.0561286110658,0.211163701648441
11,5815,6025,5328,5325,4057,4168,1070,1436,1.885372573253,10.0837324270045,35.8700098634688,0.271920261641489
12,4624,2534,3307,3322,2114,3601,654,741,1.89358155734306,10.8794261547392,37.0658721472293,0.272203980704528
13,7468,21780,14708,12959,16778,7161,2357,1034,2.42367509130146,11.2823497675963,33.78092940335,0.251491892007302
14,3351,10562,5153,5557,6608,2790,923,647,2.0141456016178,11.7790038246802,35.0042347392989,0.267197613146941
15,3433,9719,7225,6428,8725,5504,2522,1465,1.62648189523708,9.96779799269426,35.8050894135791,0.252469430470385
16,3786,18275,9476,8984,12262,3472,1845,807,1.5119890156316,9.67024362765808,35.0611694107714,0.268937337916893
17,5102,17683,11902,9371,14584,5188,2827,1441,1.39028150098749,8.68998025016458,34.7764577842466,0.242017754350078
18,8707,17949,13734,11482,13315,5522,2497,1660,1.49447078359646,9.7837408548325,35.0423445876046,0.257876422458384
19,6888,8905,7829,7181,5909,5878,2104,975,1.51828237410072,10.4062230215827,35.044176559899,0.276601971939196
20,9271,6657,5204,4911,4678,7752,915,924,1.59744235334012,11.2232960325534,35.4710598900981,0.341764844234429
21,8418,11789,9727,6158,12866,6206,2167,1034,1.97887662988967,12.3878301571381,34.133878518176,0.290065306594232
22,3268,5431,7363,4254,7975,2095,1177,366,1.77729786636721,11.4887001684447,35.5826244295012,0.251505576710146
23,5797,16976,12372,8749,14681,3726,1907,810,1.66711330694366,9.69460400607161,34.6661521286712,0.272627038052841
24,5923,14429,9833,8294,11644,4257,2450,909,1.56740182633668,9.20441418476332,35.6167151004678,0.283329966277642
25,3889,8989,7144,5943,8952,4528,1908,1405,1.50159262662226,10.6796447302936,34.4046019830295,0.250964233974902
26,6234,6715,6429,6093,5127,5979,1173,1394,1.78045964882661,11.8588975181496,36.0686195564648,0.249450477703541
27,8382,11819,17184,18964,15092,17306,4248,1942,1.64817663681211,10.5021632581382,33.8715182457315,0.282164378975561
28,6738,11382,9930,8398,8993,4138,1212,1039,1.76663606101621,10.0800380436771,35.650132798621,0.249995602694669
29,11875,6816,6593,11094,3959,19139,1408,2373,2.26536510084694,14.0174190168515,34.725583080598,0.28315306368931
30,2951,4640,5260,6333,4124,4906,1469,1267,1.58426878612717,10.0314065510597,35.1210172228202,0.228363832077503
31,9528,5792,7271,8152,6724,12417,2886,1996,1.88395896564283,10.4322265387884,33.2938438954306,0.273698347752756
32,11426,7606,6621,5769,7115,6167,1688,1504,1.42803619079386,8.78544029352902,34.6968668118242,0.246318780676828
33,4116,4576,4102,5341,3987,4173,1821,1670,1.47398102466793,8.82656546489564,34.8913454920853,0.26508373480156
34,9697,4318,4534,4708,3717,5914,1424,1443,1.55974263135412,10.4486330627937,34.4020664425549,0.232400632786237
35,14032,5801,5107,5074,4474,7680,1934,1877,1.44009459225985,8.60638389771942,33.6727727863699,0.195137096617701
36,16421,15645,15248,11952,16123,11798,3760,3790,1.35135011995242,8.48646251234804,34.1667803609949,0.318848061358063
37,6354,5355,4632,4477,5677,5476,1372,2043,1.36486348957824,9.00039142773266,33.6934102180774,0.324909233288247
38,7900,8649,7331,7777,8369,7056,1940,1972,1.29183763373191,8.17166631704077,35.8729165213753,0.244577725085431
39,4643,4452,4746,4401,4190,3337,1216,1017,1.42776985674894,9.50857488734952,33.2690685966016,0.36057268722467
40,5420,4063,4564,5129,4211,4766,1181,1172,1.44727153972852,10.3284489123644,35.436919253255,0.200751263874375
41,23021,3399,9064,7522,8233,13713,2217,2297,2.13931095282578,15.7654425502102,35.5375885373799,0.295793097851918
42,5422,3477,4143,4541,4112,4300,1224,1270,1.46971813959407,9.99357383724629,35.1414398064126,0.272020568663037
43,4141,2138,2787,4223,2020,5871,591,967,2.72907660547899,16.9899570384422,35.2425153531218,0.279266888433982
44,5736,5397,6577,5828,5368,3664,1347,1294,1.04982019585808,9.14261251137154,36.0020612991092,0.358935977031238
45,6475,9662,9239,7790,7620,5152,1706,1822,1.10895254039889,8.50618721793565,36.7361190103796,0.286488696146737
46,4864,7174,8531,9374,7343,6384,1455,1306,1.21985390393495,8.96881675969954,35.6120273676629,0.319733525387108
47,6610,8988,9236,10486,7829,6738,1993,1840,1.36476662159779,10.1531655987302,34.5612345526827,0.29335264569016
48,4875,2547,4535,5139,2885,4608,760,942,2.06014528441271,14.6771115488796,36.500499968752,0.213330416848947
49,8448,5338,8742,8159,6895,7972,2300,2269,1.12942777365426,9.30170006715442,36.2329390962016,0.330808881178374
50,5736,5178,5379,4925,4211,3387,1130,987,1.05034264187048,8.53913771452491,37.1946771671135,0.303200402144772
51,4177,7253,8751,9447,6823,5566,1279,1110,1.30603870738636,9.08774857954545,36.4013434874539,0.281421327395543
52,1911,1538,2061,2983,1516,3176,376,443,2.61041420681775,16.9759093505999,35.6178399176286,0.240502899257573
53,8945,7284,9643,9943,8354,9254,2712,2787,1.29147547774218,9.54921020656136,35.4267665982393,0.355620462091674
54,6581,6126,7201,6493,5570,5676,1879,1874,1.08872016718913,10.1393939393939,35.5517804305683,0.317151311090705
55,1855,3505,3180,4751,2629,4180,738,638,3.16772845801704,19.0563829170771,35.2578062170006,0.254729186335187
56,8257,10140,9206,10707,8213,9769,2970,2655,1.46530155764813,10.5268233571483,33.9751979680263,0.266818793040218
57,5587,4376,4864,5080,4373,3911,1002,1330,1.0938656565054,8.74044025532423,35.0210250420216,0.343124127517735
58,6398,4987,5679,5457,5503,5967,1853,1908,1.01173221682776,9.47115941383457,35.9918623120607,0.370765247285624
59,6625,7872,7163,6956,5443,7437,2370,2023,1.30553314319096,8.94563760695509,35.418279589361,0.300827433868661
60,6913,3968,6400,6116,5209,6475,1283,2370,1.14228118090779,9.5127238045693,35.6692804624081,0.347826086956522
61,8048,8133,8140,9041,6996,8132,2435,2174,1.04203609004879,10.9776347498971,36.1712183280231,0.342876649977242
62,4978,4795,4369,4729,4005,3959,709,972,1.1029829408938,8.49405333974051,36.9556338884162,0.30934727118026
63,7132,9976,11347,8941,9533,7022,2605,2979,1.16507285162058,8.83336306868867,34.2414859345337,0.303342345970201
64,14139,14592,13118,14794,12328,16764,5843,4151,1.28705813040063,8.74432115737104,34.2351187904968,0.327585313174946
65,4247,2489,2351,3148,2253,4671,553,651,2.90623170465303,18.9852180878177,35.1479062772105,0.231576031029842
66,7770,6276,7837,8346,6623,7174,1808,2292,1.20953537412575,9.67416441148561,34.9045787577661,0.349558831207254
67,5748,5398,6236,6990,5019,5804,1508,2021,1.09498906269347,8.75034050105246,34.2414268185047,0.340839127720492
68,4858,5814,6579,7103,5597,6645,2140,2596,1.11486858067125,8.98136234974084,34.5547131914223,0.303310162849773
69,7961,8227,8100,8661,7317,8749,2902,2033,1.27948178936666,9.00011961007117,34.3151857191056,0.341532987761862
70,5617,5272,5393,5757,5295,7053,1896,1454,1.09470226500134,12.4222909743707,35.1599627117299,0.362806934031497
71,5053,6540,7208,7664,6692,7402,2860,2479,0.963756455379757,8.28696424459722,35.8844541801059,0.349328181865222
72,9521,7563,8469,9669,7103,9251,1859,2382,1.42238905592303,10.1063439567047,33.8470105509965,0.332896279385451
73,8024,5732,6575,6963,5496,5901,1848,2799,1.22067949028147,9.25788370029841,34.022815495524,0.291412500990256
74,8811,8322,11432,11153,7214,7115,2191,2629,1.08432395857849,8.28397858319605,35.0659058239317,0.311640603447024
75,5592,3606,4527,4717,4383,5106,1345,1621,1.16539368398592,9.85442227675237,35.9145113627448,0.321216559010434
76,5823,3087,4689,5121,3816,5208,1174,1269,1.23571871302192,9.92556488420578,35.8770375232469,0.320096269554753
77,9642,5319,6780,6569,6671,8114,2613,2186,1.41795630265031,9.4856714236258,34.0592030629609,0.278945689166194
78,6628,3301,5256,5969,4748,8080,1334,1703,1.48507965067802,10.2108658445605,35.3752075759616,0.319061083434316
79,6667,4360,6164,7133,5796,6433,1382,2080,1.4735599727009,10.3474236478417,34.7192054092646,0.327894670530427
80,7740,5008,6744,8523,5525,7889,1511,2402,1.35797050232592,10.3207962208359,34.5336321181079,0.314251280506177
81,6235,4177,5109,5707,4157,6543,1276,1656,1.54363785294401,10.8045677941602,35.7082907877369,0.299056110377805
82,3753,3435,5108,5666,3264,3951,661,891,2.48986791123635,16.6259246213455,36.6767284837005,0.241269744279124
83,8513,6944,7628,8057,6909,7792,2026,2236,1.4862122281604,10.2333703068804,35.4138560471581,0.311116321130723
84,13854,7617,10050,9975,9190,11555,3180,3064,1.39653772480579,9.4693253165904,33.5000187967569,0.262365133269007
85,18357,8036,10806,10566,6638,11243,2266,4279,1.74904234200276,12.4609875612514,35.3773494781591,0.226230565307731
86,14791,6300,6502,6321,4993,9712,2269,2495,1.6622279210286,9.84100330218506,33.8422258592471,0.219525368248773
87,2467,3665,4484,5205,3580,3884,1080,1040,2.7394873102198,18.2792884658962,35.6397888827872,0.238147537982793
88,642,2057,1576,2379,1449,1748,203,287,2.82848637858149,18.9675904180366,36.0817922666472,0.22849206929318
89,1015,2022,2154,2495,1895,1994,513,432,2.97729509973981,20.5080225498699,35.9255769574811,0.288866360546246
90,1652,2249,3001,3980,2212,3758,625,515,2.88213696073505,21.6753284042782,37.1429342635273,0.259291557659566
91,398,200,390,422,279,507,90,170,3.62315789473684,17.7702786377709,33.724845327255,0.332139368283947
92,217,371,373,306,259,296,26,78,4.38479648842777,16.9600957701516,34.9404508719694,0.290940025521055
93,460,339,429,522,335,413,43,148,3.15097929490767,18.4196978175714,37.1403933434191,0.331316187594554
94,26,37,32,33,50,24,18,20,2.57846153846154,17.3006993006993,35.3466666666667,0.346666666666667
95,136,245,505,623,379,474,88,54,3.52225495175216,18.9009649568309,36.3936022253129,0.286509040333797
96,830,606,1248,1536,581,1043,142,259,3.47879076410378,15.9431087836229,36.1419616037613,0.185059422750424
97,42,26,118,102,112,85,10,13,2.83315634218289,19.6637168141593,36.7146853146853,0.286713286713287
98,71,69,142,135,55,78,6,23,2.63886255924171,14.4454976303318,36.113184079602,0.291044776119403
99,168,146,391,463,91,147,28,69,2.41318181818182,13.5232323232323,38.0482384823848,0.212466124661247
100,85,47,98,101,48,110,13,23,3.20125984251968,19.9737532808399,33.5652173913044,0.286115007012623
101,43,23,56,103,44,69,21,35,2.67205882352941,17.016339869281,34.7985074626866,0.26865671641791
102,53,27,75,74,50,71,19,46,3.07630662020906,17.3693379790941,31.5446096654275,0.239776951672862
104,430,306,564,479,422,585,164,213,3.50494141619969,17.109526235354,33.6512573025146,0.248666497332995
105,369,202,351,348,201,451,64,113,3.02073782234957,17.2256446991404,34.2072380952381,0.228571428571429
106,282,139,214,259,151,293,58,116,2.62993788819876,19.0207039337474,33.8660076880835,0.208676551345415
107,515,568,428,653,372,804,140,168,2.56147385755455,12.0201729106628,36.5506221029519,0.253232495730666
108,1121,713,711,739,569,730,161,88,4.50278111244498,12.9887955182073,35.9511011571482,0.283874580067189
109,164,221,324,286,131,276,28,67,2.80773305084746,17.6006355932203,35.5850178359096,0.274078478002378
