"estacion","sal_mor","lleg_mor","sal_mid","lleg_mid","sal_tar","lleg_tar","sal_noc","lleg_noc","distancia","dur_via","edades","prop"
1,1201,947,937,1194,951,1138,269,368,2.07449565798263,10.9899799599198,34.7984629502179,0.256251433815095
2,591,363,415,362,392,352,68,126,2.01068045363576,11.8639092728486,35.2821589205397,0.277961019490255
3,562,414,372,293,237,354,63,59,2.35199098422239,11.9278737791134,35.8191411935953,0.248180494905386
4,414,412,365,426,407,449,68,127,1.83150224215247,10.4691704035874,35.0974750440399,0.236054022313564
5,415,483,367,409,354,281,44,107,1.9773746701847,10.3027704485488,35.097726501527,0.260604004071938
6,587,538,483,542,382,392,113,162,1.95362779156328,11.0709677419355,35.7868197703445,0.266849725411882
7,335,506,410,418,455,306,90,124,2.20983397190294,11.786717752235,34.4220569210867,0.275873221216041
8,304,372,448,393,261,181,53,63,2.10170305676856,11.2855895196507,37.3492326835338,0.228535877229365
9,293,524,389,416,352,269,92,155,1.7749238269348,10.6508226691042,35.6048177083333,0.255859375
10,761,431,519,469,462,525,78,86,2.16042292710072,12.4596549805231,38.3975358310284,0.21423183303998
11,414,389,422,407,348,334,85,127,2.15464262295082,10.6190163934426,35.7128520556815,0.251537714470703
12,310,191,245,217,151,194,32,39,2.18307508939213,11.3301549463647,37.2492949802594,0.225606316976875
13,444,1066,695,535,779,317,126,42,2.65656632173095,11.4322671683913,33.9830895795247,0.266681901279707
14,319,538,408,424,447,240,98,57,2.22648307896483,12.3052422030524,35.4490540989047,0.291735811483571
15,284,714,573,501,704,470,216,134,1.82329579904721,10.4006063230836,36.1839788732394,0.226232394366197
16,275,1216,809,728,899,346,171,52,1.74933358433735,10.1686746987952,35.4614779874214,0.249017295597484
17,401,1167,820,688,1019,416,194,117,1.70168049044356,9.23764875586008,35.721874441066,0.253443033446611
18,573,1325,1150,941,1037,484,190,100,1.80386596338815,9.78622401489296,35.6875662577616,0.235347569286688
19,486,723,761,665,568,574,228,70,1.8650218861918,10.9466772781536,35.4431161585973,0.253237696752341
20,531,466,368,329,321,565,66,62,1.7942080654588,11.5704266510812,35.7405238828968,0.348536209553159
21,608,585,595,470,810,544,150,97,2.38819875776398,13.3521261347348,34.5550900712191,0.305194805194805
22,254,320,574,323,573,201,89,33,2.22136407300672,12.3583093179635,35.5613718411552,0.257400722021661
23,447,1248,1027,700,1019,302,125,46,1.97432145564822,10.9351781652767,35.6512738853503,0.26380042462845
24,453,1157,939,795,964,509,238,80,1.85964260438783,9.42498230714791,35.7327766179541,0.251043841336117
25,350,702,677,537,694,454,185,128,1.77484236019375,11.21928665786,35.1979706390328,0.238341968911917
26,298,425,474,384,379,378,51,71,2.07900129701686,11.9507133592737,36.2813536828135,0.257465162574652
27,577,930,1625,1793,1358,1543,323,136,1.95648038688877,10.9197564033674,34.111728685822,0.276778144135657
