FECHA,HORA,CONTAMINANTE,ESTACION,CONCENTRACION,UNIDAD
1986-01-01,01,CO,LAG,-99.9,ppm
1986-01-01,01,CO,TAC,-99.9,ppm
1986-01-01,01,CO,EAC,-99.9,ppm
1986-01-01,01,CO,TLA,-99.9,ppm
1986-01-01,01,CO,XAL,-99.9,ppm
1986-01-01,01,CO,MER,-99.9,ppm
1986-01-01,01,CO,PED,-99.9,ppm
1986-01-01,01,CO,CES,-99.9,ppm
1986-01-01,01,CO,PLA,-99.9,ppm
1986-01-01,01,CO,HAN,-99.9,ppm
1986-01-01,01,CO,UIZ,-99.9,ppm
1986-01-01,01,CO,ARA,-99.9,ppm
1986-01-01,01,CO,NET,-99.9,ppm
1986-01-01,01,CO,IMP,-99.9,ppm
1986-01-01,01,CO,BJU,-99.9,ppm
1986-01-01,01,CO,TAX,-99.9,ppm
1986-01-01,01,CO,MIN,-99.9,ppm
1986-01-01,01,CO,CUI,-99.9,ppm
1986-01-01,01,CO,TLI,-99.9,ppm
1986-01-01,01,CO,ATI,-99.9,ppm
1986-01-01,01,CO,VIF,-99.9,ppm
1986-01-01,01,CO,SAG,-99.9,ppm
1986-01-01,01,CO,VAL,-99.9,ppm
1986-01-01,01,CO,AZC,-99.9,ppm
1986-01-01,01,CO,CHA,-99.9,ppm
1986-01-01,01,CO,TAH,-99.9,ppm
1986-01-01,01,CO,SUR,-99.9,ppm
1986-01-01,01,CO,IZT,-99.9,ppm
1986-01-01,01,CO,CHO,-99.9,ppm
1986-01-01,02,CO,LAG,-99.9,ppm
1986-01-01,02,CO,TAC,-99.9,ppm
1986-01-01,02,CO,EAC,-99.9,ppm
1986-01-01,02,CO,TLA,-99.9,ppm
1986-01-01,02,CO,XAL,-99.9,ppm
1986-01-01,02,CO,MER,-99.9,ppm
1986-01-01,02,CO,PED,-99.9,ppm
1986-01-01,02,CO,CES,-99.9,ppm
1986-01-01,02,CO,PLA,-99.9,ppm
1986-01-01,02,CO,HAN,-99.9,ppm
1986-01-01,02,CO,UIZ,-99.9,ppm
1986-01-01,02,CO,ARA,-99.9,ppm
1986-01-01,02,CO,NET,-99.9,ppm
1986-01-01,02,CO,IMP,-99.9,ppm
1986-01-01,02,CO,BJU,-99.9,ppm
1986-01-01,02,CO,TAX,-99.9,ppm
1986-01-01,02,CO,MIN,-99.9,ppm
1986-01-01,02,CO,CUI,-99.9,ppm
1986-01-01,02,CO,TLI,-99.9,ppm
1986-01-01,02,CO,ATI,-99.9,ppm
1986-01-01,02,CO,VIF,-99.9,ppm
1986-01-01,02,CO,SAG,-99.9,ppm
1986-01-01,02,CO,VAL,-99.9,ppm
1986-01-01,02,CO,AZC,-99.9,ppm
1986-01-01,02,CO,CHA,-99.9,ppm
1986-01-01,02,CO,TAH,-99.9,ppm
1986-01-01,02,CO,SUR,-99.9,ppm
1986-01-01,02,CO,IZT,-99.9,ppm
1986-01-01,02,CO,CHO,-99.9,ppm
1986-01-01,03,CO,LAG,-99.9,ppm
1986-01-01,03,CO,TAC,-99.9,ppm
1986-01-01,03,CO,EAC,-99.9,ppm
1986-01-01,03,CO,TLA,-99.9,ppm
1986-01-01,03,CO,XAL,-99.9,ppm
1986-01-01,03,CO,MER,-99.9,ppm
1986-01-01,03,CO,PED,-99.9,ppm
1986-01-01,03,CO,CES,-99.9,ppm
1986-01-01,03,CO,PLA,-99.9,ppm
1986-01-01,03,CO,HAN,-99.9,ppm
1986-01-01,03,CO,UIZ,-99.9,ppm
1986-01-01,03,CO,ARA,-99.9,ppm
1986-01-01,03,CO,NET,-99.9,ppm
1986-01-01,03,CO,IMP,-99.9,ppm
1986-01-01,03,CO,BJU,-99.9,ppm
1986-01-01,03,CO,TAX,-99.9,ppm
1986-01-01,03,CO,MIN,-99.9,ppm
1986-01-01,03,CO,CUI,-99.9,ppm
1986-01-01,03,CO,TLI,-99.9,ppm
1986-01-01,03,CO,ATI,-99.9,ppm
1986-01-01,03,CO,VIF,-99.9,ppm
1986-01-01,03,CO,SAG,-99.9,ppm
1986-01-01,03,CO,VAL,-99.9,ppm
1986-01-01,03,CO,AZC,-99.9,ppm
1986-01-01,03,CO,CHA,-99.9,ppm
1986-01-01,03,CO,TAH,-99.9,ppm
1986-01-01,03,CO,SUR,-99.9,ppm
1986-01-01,03,CO,IZT,-99.9,ppm
1986-01-01,03,CO,CHO,-99.9,ppm
1986-01-01,04,CO,LAG,-99.9,ppm
1986-01-01,04,CO,TAC,-99.9,ppm
1986-01-01,04,CO,EAC,-99.9,ppm
1986-01-01,04,CO,TLA,-99.9,ppm
1986-01-01,04,CO,XAL,-99.9,ppm
1986-01-01,04,CO,MER,-99.9,ppm
1986-01-01,04,CO,PED,-99.9,ppm
1986-01-01,04,CO,CES,-99.9,ppm
1986-01-01,04,CO,PLA,-99.9,ppm
1986-01-01,04,CO,HAN,-99.9,ppm
1986-01-01,04,CO,UIZ,-99.9,ppm
1986-01-01,04,CO,ARA,-99.9,ppm
1986-01-01,04,CO,NET,-99.9,ppm
1986-01-01,04,CO,IMP,-99.9,ppm
1986-01-01,04,CO,BJU,-99.9,ppm
1986-01-01,04,CO,TAX,-99.9,ppm
1986-01-01,04,CO,MIN,-99.9,ppm
1986-01-01,04,CO,CUI,-99.9,ppm
1986-01-01,04,CO,TLI,-99.9,ppm
1986-01-01,04,CO,ATI,-99.9,ppm
1986-01-01,04,CO,VIF,-99.9,ppm
1986-01-01,04,CO,SAG,-99.9,ppm
1986-01-01,04,CO,VAL,-99.9,ppm
1986-01-01,04,CO,AZC,-99.9,ppm
1986-01-01,04,CO,CHA,-99.9,ppm
1986-01-01,04,CO,TAH,-99.9,ppm
1986-01-01,04,CO,SUR,-99.9,ppm
1986-01-01,04,CO,IZT,-99.9,ppm
1986-01-01,04,CO,CHO,-99.9,ppm
1986-01-01,05,CO,LAG,-99.9,ppm
1986-01-01,05,CO,TAC,-99.9,ppm
1986-01-01,05,CO,EAC,-99.9,ppm
1986-01-01,05,CO,TLA,-99.9,ppm
1986-01-01,05,CO,XAL,-99.9,ppm
1986-01-01,05,CO,MER,-99.9,ppm
1986-01-01,05,CO,PED,-99.9,ppm
1986-01-01,05,CO,CES,-99.9,ppm
1986-01-01,05,CO,PLA,-99.9,ppm
1986-01-01,05,CO,HAN,-99.9,ppm
1986-01-01,05,CO,UIZ,-99.9,ppm
1986-01-01,05,CO,ARA,-99.9,ppm
1986-01-01,05,CO,NET,-99.9,ppm
1986-01-01,05,CO,IMP,-99.9,ppm
1986-01-01,05,CO,BJU,-99.9,ppm
1986-01-01,05,CO,TAX,-99.9,ppm
1986-01-01,05,CO,MIN,-99.9,ppm
1986-01-01,05,CO,CUI,-99.9,ppm
1986-01-01,05,CO,TLI,-99.9,ppm
1986-01-01,05,CO,ATI,-99.9,ppm
1986-01-01,05,CO,VIF,-99.9,ppm
1986-01-01,05,CO,SAG,-99.9,ppm
1986-01-01,05,CO,VAL,-99.9,ppm
1986-01-01,05,CO,AZC,-99.9,ppm
1986-01-01,05,CO,CHA,-99.9,ppm
1986-01-01,05,CO,TAH,-99.9,ppm
1986-01-01,05,CO,SUR,-99.9,ppm
1986-01-01,05,CO,IZT,-99.9,ppm
1986-01-01,05,CO,CHO,-99.9,ppm
1986-01-01,06,CO,LAG,-99.9,ppm
1986-01-01,06,CO,TAC,-99.9,ppm
1986-01-01,06,CO,EAC,-99.9,ppm
1986-01-01,06,CO,TLA,-99.9,ppm
1986-01-01,06,CO,XAL,-99.9,ppm
1986-01-01,06,CO,MER,-99.9,ppm
1986-01-01,06,CO,PED,-99.9,ppm
1986-01-01,06,CO,CES,-99.9,ppm
1986-01-01,06,CO,PLA,-99.9,ppm
1986-01-01,06,CO,HAN,-99.9,ppm
1986-01-01,06,CO,UIZ,-99.9,ppm
1986-01-01,06,CO,ARA,-99.9,ppm
1986-01-01,06,CO,NET,-99.9,ppm
1986-01-01,06,CO,IMP,-99.9,ppm
